iter	RMSE
147	0.5449013822
148	0.544564638
149	0.5442508146
150	0.5438835648
151	0.5435850382
152	0.5432574542
153	0.542875816
154	0.5426061976
155	0.5422430065
156	0.5418866312
157	0.5415052644
158	0.5411721176
159	0.5408268441
160	0.5404654351
161	0.5401270812
162	0.5397899624
163	0.5395321304
164	0.5392033897
165	0.538942342
166	0.5386748172
167	0.5383920857
168	0.5380940482
169	0.5378319701
170	0.5374617584
171	0.5371621887
172	0.5368735039
173	0.5367016137
174	0.5364308618
175	0.5361735854
176	0.5359467168
177	0.5356388274
178	0.5354038255
179	0.535114187
180	0.5348399393
181	0.5346084371
182	0.5343469082
183	0.5340305622
184	0.5337584042
185	0.5335137578
186	0.5331915475
187	0.5329553266
188	0.5327574595
189	0.5324760185
190	0.5322425888
191	0.5319658666
192	0.5317486369
193	0.5314932725
194	0.5313085118
195	0.5310565808
196	0.530833965
197	0.5305683877
198	0.5303796361
199	0.5301900296
200	0.529966653
201	0.5297879603
202	0.5295601056
203	0.5294145695
204	0.529226308
205	0.529044865
206	0.5289109006
207	0.5287548026
208	0.5285779772
209	0.5283728726
210	0.5281836912
211	0.5280436631
212	0.5278440964
213	0.527631306
214	0.5274894806
215	0.5272965604
216	0.5270614995
217	0.526890573
218	0.5267113768
219	0.5265605489
220	0.5263758885
221	0.5261714488
222	0.5259919073
223	0.5258278789
224	0.5257319811
225	0.5255778993
226	0.5252811096
227	0.5250868252
228	0.5249152256
229	0.5247234279
230	0.5245470992
231	0.5244179086
232	0.5241737093
233	0.5239535645
234	0.5237949159
235	0.5236595101
236	0.5235305339
237	0.5233851468
238	0.5232330384
239	0.5230091431
240	0.5228576686
241	0.5227339541
242	0.5225872656
243	0.5225148238
244	0.5224282799
245	0.5223670125
246	0.5222986438
247	0.5220965417
248	0.5219304541
249	0.5218007238
250	0.5216586358
251	0.5215383631
252	0.5213938193
253	0.5212050646
254	0.5210288273
255	0.520842467
256	0.52071254
257	0.5205318376
258	0.5204572164
259	0.5203445809
260	0.5202421758
261	0.5200974533
262	0.5198874755
263	0.5197029583
264	0.5195223987
265	0.5194454173
266	0.5192522586
267	0.5190926003
268	0.518980934
269	0.51879201
270	0.5186841391
271	0.5185757607
272	0.5183837995
273	0.5182618823
274	0.5181716855
275	0.5180173506
276	0.5178664376
277	0.5177785599
278	0.5176762123
279	0.517584706
280	0.5173924426
281	0.5172117817
282	0.5171025505
283	0.5169200733
284	0.5167921057
285	0.5166735754
286	0.516575898
287	0.516449514
288	0.5162748724
289	0.5162339167
290	0.5161176412
291	0.5159815892
292	0.5158927985
293	0.5157726692
294	0.5156566545
295	0.5155034603
296	0.515389877
297	0.5152320587
298	0.5150830066
299	0.5149734375
300	0.5148079224
301	0.514700366
302	0.5146126321
303	0.5145625261
304	0.5144890991
305	0.5143760887
306	0.5143117639
307	0.514128046
308	0.5140505366
309	0.513943627
310	0.5137656291
311	0.5137214308
312	0.5136514036
313	0.5135715758
314	0.5134889774
315	0.513392601
316	0.5132453804
317	0.5131540875
318	0.5130674853
319	0.5129778104
320	0.512844597
321	0.5127629845
322	0.5126789266
323	0.5125680546
324	0.5125262845
325	0.5124083394
326	0.5122346234
327	0.5121705757
328	0.5121292363
329	0.5120285989
330	0.5118796067
331	0.5118104603
332	0.5117220824
333	0.5116132364
334	0.5114642993
335	0.5113242273
336	0.5111752786
337	0.5111211614
338	0.5110139383
339	0.5109403963
340	0.5107816352
341	0.5107270569
342	0.5106448583
343	0.5105824927
344	0.5104903568
345	0.5103917961
346	0.5103174503
347	0.510237605
348	0.5101463948
349	0.5100914715
350	0.5100016306
351	0.5099463019
352	0.5098840721
353	0.5098107765
354	0.5097270734
355	0.5096910616
356	0.5095741494
357	0.5094857658
358	0.5094162984
359	0.5093224045
360	0.5092160809
361	0.5091017527
362	0.5090204822
363	0.5088858589
364	0.5087732688
365	0.5087316546
366	0.5086217513
367	0.5085448658
368	0.5083732462
369	0.5083223958
370	0.508230262
371	0.508146087
372	0.5080950798
373	0.5080546944
374	0.5079676484
375	0.5079093565
376	0.5078071381
377	0.5077304862
378	0.5076466795
379	0.5075272927
380	0.5074131885
381	0.5073822418
382	0.5072616715
383	0.5071918314
384	0.5070946962
385	0.506978256
386	0.5068740299
387	0.5067739167
388	0.5066911658
389	0.5066599418
390	0.506565663
391	0.5064733314
392	0.5064187272
393	0.5063803352
394	0.5063239751
395	0.5062634121
396	0.5062176588
397	0.5061238151
398	0.5060164769
399	0.5059435481
400	0.5057947982
401	0.5057364441
402	0.5056523508
403	0.5056244589
404	0.5054903752
405	0.5053603636
406	0.5052737073
407	0.5052291125
408	0.5051878154
409	0.5051080574
410	0.5049818149
411	0.5049393521
412	0.5048783736
413	0.5048203381
414	0.5047430379
415	0.5046243053
416	0.5045795533
417	0.5044584242
418	0.5043978471
419	0.5042760191
420	0.5041906585
421	0.5041381278
422	0.5040830941
423	0.5040051079
424	0.5039189726
425	0.5038025053
426	0.5037404516
427	0.5036584013
428	0.5035943002
429	0.5035325617
430	0.5034442639
431	0.5034258656
432	0.5033738688
433	0.5033162165
434	0.5032470409
435	0.5031862941
436	0.5031133674
437	0.503047014
438	0.5029620533
439	0.5029041225
440	0.5028271706
441	0.5027821305
442	0.5026817152
443	0.5026375312
444	0.502601475
445	0.5025523557
446	0.5025073482
447	0.5024203358
448	0.5023136048
449	0.502268708
450	0.5022012864
451	0.5021701516
452	0.5020922678
453	0.5020184479
454	0.5018967224
455	0.5018023366
456	0.5016564645
457	0.5015996653
458	0.501515695
459	0.5014385145
460	0.5013816601
461	0.5012990527
462	0.5012129473
463	0.5011955384
464	0.5011609504
465	0.5011336228
466	0.5009973707
467	0.500920615
468	0.5008669479
469	0.5007906099
470	0.5007329342
471	0.500693412
472	0.5006281338
473	0.5005703009
474	0.5004738239
475	0.5004301039
476	0.5003471405
477	0.5002049907
478	0.5001144231
479	0.5000734646
480	0.4999894479
481	0.4999275334
482	0.4998324978
483	0.4997358704
484	0.4996903969
485	0.4995593655
486	0.4995057638
487	0.4994228553
488	0.4993874705
489	0.4993515026
490	0.4992880409
491	0.4992110366
492	0.4991066552
493	0.499045365
494	0.4990115911
495	0.4989337272
496	0.498868483
497	0.4988304683
498	0.4987346034
499	0.4986067401
500	0.4985738403
501	0.4985036935
502	0.4984062742
503	0.4983161009
504	0.4982747475
505	0.4981838812
506	0.4981017755
507	0.4980161646
508	0.4979369373
509	0.4978479632
510	0.4977584313
511	0.4977265843
512	0.4977043938
513	0.4976738445
514	0.4975499189
515	0.4974308349
516	0.4973910287
517	0.4973448178
518	0.4972567759
519	0.4971316334
520	0.4971051052
521	0.497008555
522	0.4969710512
523	0.4968963214
524	0.4968153383
525	0.4967372695
526	0.4966848524
527	0.496631852
528	0.4965683889
529	0.4965341057
530	0.4964891949
531	0.4964498521
532	0.4963782121
533	0.4963159676
534	0.4962571848
535	0.4962224993
536	0.4961477283
537	0.4960963597
538	0.4959924375
539	0.4959636033
540	0.4959217498
541	0.4958356698
542	0.4957879565
543	0.4957158102
544	0.4956571571
545	0.4956038057
546	0.4955441931
547	0.4955017511
548	0.4954269478
549	0.4953468476
550	0.4953130746
551	0.4952572801
552	0.4951832882
553	0.4951349628
554	0.4950070381
555	0.4949213411
556	0.4948541636
557	0.4947656585
558	0.4947299075
559	0.4946746879
560	0.4946503038
561	0.4946077197
562	0.4945629714
563	0.4945328914
564	0.4944646551
565	0.4944426576
566	0.4943696896
567	0.4943271386
568	0.4942218717
569	0.49418546
570	0.4941285052
571	0.4940332538
572	0.4939599534
573	0.4938112895
574	0.4937312773
575	0.4936603348
576	0.4935874665
577	0.4934697011
578	0.4934446547
579	0.4934018996
580	0.4933092949
581	0.4932930372
582	0.4932459416
583	0.4931968432
584	0.4931652395
585	0.4930509773
586	0.4929527662
587	0.4929072198
588	0.4928159247
589	0.492785456
590	0.4926662699
591	0.4926052655
592	0.4925403132
593	0.4925169501
594	0.4924354576
595	0.4923918484
596	0.4922573468
597	0.4922052261
598	0.4920200046
599	0.4919760037
600	0.4919156665
601	0.4918847994
602	0.4917470355
603	0.491625967
604	0.4915426924
605	0.4914822441
606	0.4914207876
607	0.4913530983
608	0.491246541
609	0.491185695
610	0.4911254059
611	0.4910634467
612	0.4909537037
613	0.4909169445
614	0.4908280112
615	0.4907914173
616	0.4907251532
617	0.4906618356
618	0.4905703043
619	0.4904318362
620	0.4903741951
621	0.4903496314
622	0.4902117067
623	0.4901012653
624	0.489986
625	0.4899490991
626	0.4898887901
627	0.4898314577
628	0.4898146367
629	0.4897964895
630	0.4896933455
631	0.4896393682
632	0.4895735718
633	0.4894882915
634	0.4894326674
635	0.4894148536
636	0.48937024
637	0.4892472164
638	0.4891777259
639	0.4891037866
640	0.4890474773
641	0.4889751626
642	0.4889414557
643	0.4888748989
644	0.4887835398
645	0.4887233131
646	0.4886699638
647	0.4885968999
648	0.4885717387
649	0.4884284082
650	0.4883700299
651	0.4883117161
652	0.4882959385
653	0.4881213429
654	0.4880985995
655	0.4880812341
656	0.4880477905
657	0.4879647845
658	0.4878959753
659	0.4878544813
660	0.4877800971
661	0.4877669434
662	0.4876623337
663	0.4876002118
664	0.4875305024
665	0.4874596213
666	0.48737352
667	0.4873607654
668	0.4872853386
669	0.4872453343
670	0.487182798
671	0.4871490631
672	0.4870383553
673	0.486907829
674	0.4868412247
675	0.4867308496
676	0.4866193333
677	0.4865864176
678	0.4865206751
679	0.4864694198
680	0.4864345845
681	0.486372526
682	0.4863035868
683	0.486221302
684	0.4861776022
685	0.486081194
686	0.4860670353
687	0.4860258279
688	0.4859674915
689	0.4858884651
690	0.4858398326
691	0.4857435689
692	0.4856454147
693	0.4856029337
694	0.4855619339
695	0.4855338149
696	0.4854297318
697	0.4853623976
698	0.4853096197
699	0.4852532799
